id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km,event_category
907928656662865250,158.0,132.2627879576581,-25.737212042341895,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.268899515284014,Sports
908079888454591421,49.0,63.7,14.700000000000003,RAISE,Vans Warped Tour DC,2026-06-13,1.4243107124508485,Music
908167180809407787,219.0,153.29999999999998,-65.70000000000002,DISCOUNT,Vans Warped Tour DC,2026-06-13,1.7510819160078543,Music
908691669415022744,66.0,71.92882427856416,5.928824278564164,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.1571137488509,Sports
908906589718589686,200.0,140.0,-60.0,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,2.661804818970849,Sports
909308637245452608,47.0,61.1,14.100000000000001,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.85860744961908,Sports
910339157163400779,130.0,169.0,39.0,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,0.794135564845473,Sports
910915699441868423,95.0,101.51213707361516,6.512137073615165,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.7214474258418669,Sports
911153412749259341,153.0,128.58742714856433,-24.41257285143567,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.3617932616456452,Sports
912314831423144767,57.0,74.10000000000001,17.10000000000001,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,0.7982768951044777,Sports
912431635387644631,132.0,125.26633732300232,-6.733662676997682,DISCOUNT,Men At Work,2026-09-20,0.6463588497359657,Music
912853325439299287,180.0,231.1779564779219,51.177956477921896,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.748753765187834,Music
912870145235312408,106.0,137.8,31.80000000000001,RAISE,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,1.830741883635124,Arts & Theatre
914330755790092213,60.0,78.0,18.0,RAISE,Men At Work,2026-09-20,1.211711181985501,Music
915080638953201051,107.0,89.29311481173316,-17.70688518826684,DISCOUNT,Diplo,2026-05-22,2.280267515855559,Music
916647693292891074,95.0,123.5,28.5,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.6536271960157546,Sports
